FASTQ_FILE	MD5	RUN_ID	STUDY_ID	STUDY_NAME	CENTER_NAME	SUBMISSION_ID	SUBMISSION_DATE	SAMPLE_ID	SAMPLE_NAME	POPULATION	EXPERIMENT_ID	INSTRUMENT_PLATFORM	INSTRUMENT_MODEL	LIBRARY_NAME	RUN_NAME	RUN_BLOCK_NAME	INSERT_SIZE	LIBRARY_LAYOUT	PAIRED_FASTQ	WITHDRAWN	WITHDRAWN_DATE	COMMENT	READ_COUNT	BASE_COUNT	ANALYSIS_GROUP
data/NA18537/sequence_read/ERR034771.filt.fastq.gz	386e16b10f0ec21a9c978244da3ba80a	ERR034771	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000113	NA18537	CHB	ERX013111	ILLUMINA	Illumina HiSeq 2000	HUMhveRBSDIAAPEI-12	BGI-FCB068WABXX_L5_HUMhveRBSDIAAPEI-12	NA	490	PAIRED		0			221282	19915380	low coverage
data/NA18537/sequence_read/ERR034771_1.filt.fastq.gz	cd038bc9e52534bbd030de515e5dd94f	ERR034771	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000113	NA18537	CHB	ERX013111	ILLUMINA	Illumina HiSeq 2000	HUMhveRBSDIAAPEI-12	BGI-FCB068WABXX_L5_HUMhveRBSDIAAPEI-12	NA	490	PAIRED	data/NA18537/sequence_read/ERR034771_2.filt.fastq.gz	0			56658129	5099231610	low coverage
data/NA18537/sequence_read/ERR034771_2.filt.fastq.gz	e223851bc4100b95fd672196cc5a4bae	ERR034771	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000113	NA18537	CHB	ERX013111	ILLUMINA	Illumina HiSeq 2000	HUMhveRBSDIAAPEI-12	BGI-FCB068WABXX_L5_HUMhveRBSDIAAPEI-12	NA	490	PAIRED	data/NA18537/sequence_read/ERR034771_1.filt.fastq.gz	0			56658129	5099231610	low coverage
data/NA18558/sequence_read/ERR034772.filt.fastq.gz	475805aeac41715245b3b6935a731885	ERR034772	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000120	NA18558	CHB	ERX013112	ILLUMINA	Illumina HiSeq 2000	HUMhveRBFDIAAPEI-5	BGI-FC81EALABXX_L7_HUMhveRBFDIAAPEI-5	NA	477	PAIRED		0			364244	32781960	low coverage
data/NA18558/sequence_read/ERR034772_1.filt.fastq.gz	3de2efac20ee5e022901952739de2e44	ERR034772	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000120	NA18558	CHB	ERX013112	ILLUMINA	Illumina HiSeq 2000	HUMhveRBFDIAAPEI-5	BGI-FC81EALABXX_L7_HUMhveRBFDIAAPEI-5	NA	477	PAIRED	data/NA18558/sequence_read/ERR034772_2.filt.fastq.gz	0			45959102	4136319180	low coverage
data/NA18558/sequence_read/ERR034772_2.filt.fastq.gz	5c389fa91c78dc30e517c72b5adf82a8	ERR034772	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000120	NA18558	CHB	ERX013112	ILLUMINA	Illumina HiSeq 2000	HUMhveRBFDIAAPEI-5	BGI-FC81EALABXX_L7_HUMhveRBFDIAAPEI-5	NA	477	PAIRED	data/NA18558/sequence_read/ERR034772_1.filt.fastq.gz	0			45959102	4136319180	low coverage
data/NA18563/sequence_read/ERR034773.filt.fastq.gz	6084733e96b9b821e3b63c2407ad36d8	ERR034773	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000123	NA18563	CHB	ERX013113	ILLUMINA	Illumina HiSeq 2000	HUMhveRAIDIAAPEI-6	BGI-FC81EALABXX_L5_HUMhveRAIDIAAPEI-6	NA	465	PAIRED		0			269544	24258960	low coverage
data/NA18563/sequence_read/ERR034773_1.filt.fastq.gz	3a381bd7741965ad8c65198ebe1d1ac1	ERR034773	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000123	NA18563	CHB	ERX013113	ILLUMINA	Illumina HiSeq 2000	HUMhveRAIDIAAPEI-6	BGI-FC81EALABXX_L5_HUMhveRAIDIAAPEI-6	NA	465	PAIRED	data/NA18563/sequence_read/ERR034773_2.filt.fastq.gz	0			47102394	4239215460	low coverage
data/NA18563/sequence_read/ERR034773_2.filt.fastq.gz	85639a42b895a7da6cc0c5f79a6af6c9	ERR034773	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000123	NA18563	CHB	ERX013113	ILLUMINA	Illumina HiSeq 2000	HUMhveRAIDIAAPEI-6	BGI-FC81EALABXX_L5_HUMhveRAIDIAAPEI-6	NA	465	PAIRED	data/NA18563/sequence_read/ERR034773_1.filt.fastq.gz	0			47102394	4239215460	low coverage
data/NA18572/sequence_read/ERR034774.filt.fastq.gz	69fabf9233eb5c3cb09639536875356c	ERR034774	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000128	NA18572	CHB	ERX013114	ILLUMINA	Illumina HiSeq 2000	HUMhveRALDIAAPEI-7	BGI-FC81EALABXX_L5_HUMhveRALDIAAPEI-7	NA	465	PAIRED		0			298166	26834940	low coverage
data/NA18572/sequence_read/ERR034774_1.filt.fastq.gz	56ede3632425b96d0aa9e2a1098cd464	ERR034774	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000128	NA18572	CHB	ERX013114	ILLUMINA	Illumina HiSeq 2000	HUMhveRALDIAAPEI-7	BGI-FC81EALABXX_L5_HUMhveRALDIAAPEI-7	NA	465	PAIRED	data/NA18572/sequence_read/ERR034774_2.filt.fastq.gz	0			52254998	4702949820	low coverage
data/NA18572/sequence_read/ERR034774_2.filt.fastq.gz	dafda0c564da33bc72a98b88810f6c48	ERR034774	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000128	NA18572	CHB	ERX013114	ILLUMINA	Illumina HiSeq 2000	HUMhveRALDIAAPEI-7	BGI-FC81EALABXX_L5_HUMhveRALDIAAPEI-7	NA	465	PAIRED	data/NA18572/sequence_read/ERR034774_1.filt.fastq.gz	0			52254998	4702949820	low coverage
data/NA18603/sequence_read/ERR034776.filt.fastq.gz	fb24976150baa466a179911730f81f76	ERR034776	SRP000546	1000 Genomes Han Chinese CHB population sequencing	BGI	ERA031504	2011-03-21 00:00:00	SRS000136	NA18603	CHB	ERX013116	ILLUMINA	Illumina HiSeq 2000	HUMhveRBMDIAAPEI-9	BGI-FCB065YABXX_L2_HUMhveRBMDIAAPEI-9	NA	479	PAIRED		0			319667	28770030	low coverage
